ACCOUNT_ID,ACCOUNT_NUMBER,SUBSIDIARY_ID,CLASS_ID,DEPARTMENT_ID,LOCATION_ID,Metric_Mapping
201,620110,,,,138,Direct Operating Expense
178,600105,,,,345,Direct Operating Expense
202,620115,,,,367,Direct Operating Expense
1738,100401,,,,111,
54,130005,,,,357,Assets
1681,690062,,,,117,Marketing & Advertising
180,600115,,,,351,Direct Operating Expense
1638,480020,,,,58,Sales
1225,120124,,,,360,Assets
998,410150,,,,366,
1739,100402,,,,143,
362,S60001,,,,503,
152,420100,,,,589,Sales
982,460327,,,,519,Sales
1614,140405,,,,553,Assets
205,630105,,,,543,Direct Operating Expense
50,120100,,,,533,Assets
1687,690068,,,,498,Marketing & Advertising
998,410150,,,,524,
998,410150,,,,508,
1744,100411,,,,500,
304,800150,,,,602,Other Income & (Expense) Accts
1826,100028,,,,508,Assets
1612,140403,,,,524,Assets
6,100004,,,,508,Assets
1680,690061,,,,535,Marketing & Advertising
